leftleg1_x,leftleg1_y,leftleg2_x,leftleg2_y,leftleg3_x,leftleg3_y,rightleg1_x,rightleg1_y,rightleg2_x,rightleg2_y,rightleg3_x,rightleg3_y,abdomen_x,abdomen_y,,
571.7163696,350.198761,531.0910645,413.2405701,458.6040649,590.9093628,831.5566406,434.8175049,879.9276733,571.3908081,876.3348999,571.9512939,653.4005127,607.3882446,,
554.0239258,347.7387085,471.3770142,361.3149414,490.9468994,623.6594849,762.428894,281.3469238,790.2651367,406.6537476,876.2441406,635.6444092,634.6881714,618.6804199,,
594.2294312,280.2043152,538.0979614,450.1239929,467.2958069,634.2252197,822.5621948,265.9983521,812.8232422,405.3952026,841.6870728,593.0377808,635.21875,623.4423218,,
562.2186279,238.5262909,513.9280396,439.2292175,455.6517029,631.1292725,761.0092163,389.3358459,834.3535156,426.0275269,837.9327393,626.0811768,643.3044434,616.9624634,,
568.5891113,211.2573853,454.5656128,362.2467957,461.3688354,645.5061035,809.0812988,220.0738068,879.5721436,433.2572327,839.9604492,634.4467163,647.72229,618.6779785,,
599.8685913,127.0191422,500.157196,324.7344055,497.9675598,689.4801636,787.6204834,214.7646332,814.5807495,374.4987488,851.553833,629.0172119,655.257019,619.2824097,,
597.5722046,198.2966614,473.387207,380.3055725,518.7770996,702.1774292,747.760437,112.8390656,789.7619019,319.4314575,856.7925415,621.9825439,657.7738037,615.0203857,,
570.7172852,181.751236,487.2516785,374.7925415,444.2026062,559.9966431,749.1856689,151.3792725,788.9380493,427.6933899,874.7059326,606.083374,661.2196655,603.105896,,
562.2689209,221.0771027,521.0710449,399.3425903,505.7099915,696.1009521,765.0452271,133.9746399,828.427063,453.2012939,869.3623657,601.4821777,666.119751,612.3481445,,
578.0132446,186.9114532,471.9076538,368.6824341,456.631897,578.1672363,783.0090942,186.5062561,769.5453491,564.9488525,869.2299194,602.2340698,661.565918,601.692627,,
579.1842041,132.5659637,448.1598206,335.7612915,453.5175171,574.2154541,775.5844116,153.0159302,837.0372925,386.927948,875.1759644,598.8704834,659.5065918,601.0981445,,
595.9971924,128.2050018,501.4280396,355.5054932,443.5245667,577.6367188,778.0628662,137.5036469,767.4055786,565.9451294,879.5344238,603.1032104,659.3321533,607.2119141,,
613.9388428,105.0943298,515.628418,437.5291138,457.9526062,646.0532227,774.3483887,252.5948792,858.3140869,426.1358643,878.7409668,600.519165,658.864624,610.9214478,,
582.0309448,171.999649,546.8104858,477.9659729,530.6937256,689.2093506,787.5510864,262.4015808,767.8015137,564.7582397,878.6882935,600.0102539,658.9012451,611.3848877,,
631.8881226,84.02503967,598.2208252,455.0717468,521.7805786,712.2317505,790.3551636,261.5221252,817.7975464,421.3283691,879.5305176,600.6433105,663.4060669,616.6575317,,
560.9786377,229.9517517,479.0309143,328.5300293,547.8693848,725.093811,806.3581543,241.5924683,769.4124756,564.4834595,879.7437744,598.3945313,659.3192749,620.3688354,,
648.8516235,97.1362381,492.8895264,362.5267334,559.7683105,723.2415161,787.1472778,257.0643921,850.3892822,423.1564636,879.3659668,599.2744751,658.890686,620.0588989,,
581.2223511,181.3284912,521.2848511,422.5797119,581.9515381,720.7957764,766.7142334,167.0310822,839.9499512,396.8139343,878.2996826,600.3446045,662.5076904,617.3921509,,
629.0495605,115.7896194,601.9133301,446.6693726,561.5129395,721.0855713,877.8300171,149.8639832,769.7337036,565.9591064,883.9035645,600.0939331,661.8269043,619.7468262,,
621.6137085,148.2651367,435.6171875,405.5298462,806.9599609,272.1550903,833.7591553,212.4954224,894.4790649,578.6937256,660.5991821,603.7310181,659.7954712,617.6854248,,
627.1350098,180.0015869,422.6206055,430.9026184,468.6632385,579.0890503,928.0427246,483.4186096,820.7788086,197.7549438,891.7639771,568.2655029,663.7911377,597.5271606,,
584.5498657,181.1559906,613.5115356,444.1537476,488.1508484,685.0369263,772.078186,285.0560303,713.9328613,444.2684326,878.5892334,454.3424072,669.3340454,585.3145142,,
623.7973022,180.5730133,448.2623291,400.60849,455.3403015,673.1314087,750.8377075,352.5263062,879.9342651,598.0831909,881.6160889,443.3937683,658.0874023,576.2563477,,
582.3392944,239.6959381,453.9581299,294.0499878,521.9459839,531.0793457,775.9682617,279.7521362,740.81604,490.8746643,880.3140259,339.2298279,654.1787109,591.2492065,,
449.0994873,346.5622253,503.491394,550.3716431,448.7433472,344.2524109,890.0106201,440.1330872,708.3215942,441.5585938,886.7260132,441.6426697,655.6026611,574.8570557,,
578.0828857,341.3304749,501.2539978,499.1013489,446.324646,348.4532471,708.3370361,506.2278137,819.1467285,529.4089355,865.7488403,672.9746704,650.3688354,526.225647,,
672.1604614,114.5866547,371.4914551,286.4952087,446.099823,358.4242859,674.9347534,112.7178268,900.5397339,570.0214844,896.307312,573.6580811,658.7374268,510.988739,,
